Date,z1,z2,z3,z4
2002-12-20,0.021353683,0.012588497,0.0275308,-0.003247328
2002-12-23,0.021844234,0.011912838,0.029805623,-0.0031841882
2002-12-24,0.02224813,0.011334892,0.03184995,-0.003144594
2002-12-25,0.022576641,0.010830149,0.0335892,-0.0031453148
2002-12-26,0.022716938,0.010416605,0.03477409,-0.0031660683
2002-12-27,0.022641765,0.010207441,0.035238095,-0.00322189
2002-12-30,0.022454951,0.010130335,0.035322867,-0.0032899734
2002-12-31,0.022249619,0.010066424,0.035249244,-0.0033526402
2003-01-02,0.021994133,0.010026116,0.034990683,-0.0034098998
2003-01-03,0.02155962,0.010008246,0.034625694,-0.0034618154
2003-01-06,0.020850953,0.009929478,0.03417885,-0.0034995489
2003-01-07,0.019889148,0.010512888,0.032982837,-0.0034255758
2003-01-08,0.01862294,0.011827707,0.03082278,-0.0031974614
2003-01-09,0.017377308,0.014010448,0.027694933,-0.002775753
2003-01-10,0.016162602,0.01677667,0.023962095,-0.0022266973
2003-01-13,0.014646695,0.02005833,0.019746028,-0.00160506
2003-01-14,0.012786089,0.022667134,0.016155876,-0.0010679718
2003-01-15,0.010678643,0.024588626,0.013344857,-0.0006388463
2003-01-16,0.008571443,0.025866164,0.011224617,-0.00028791465
2003-01-17,0.006568062,0.026736949,0.009581688,6.0182065e-06
2003-01-20,0.004735385,0.027171241,0.008443083,0.0002444014
2003-01-21,0.0030895707,0.027470648,0.007483787,0.00043228082
2003-01-22,0.0016747571,0.027668836,0.0067002764,0.00057979487
2003-01-23,0.00049972045,0.027851773,0.005998685,0.00070212595
2003-01-24,-0.00033824402,0.02806187,0.0053093126,0.00077889673
2003-01-27,-0.00087636407,0.028350495,0.004578314,0.00081050396
2003-01-28,-0.0011655611,0.02864415,0.0039349617,0.00079895183
2003-01-29,-0.001402477,0.02891774,0.003411022,0.0007782597
2003-01-30,-0.0017147085,0.02906448,0.0030798307,0.0007809941
2003-01-31,-0.0023224566,0.02908775,0.0028996198,0.000838818
2003-02-03,-0.0031959207,0.029033752,0.0028107595,0.0009443797
2003-02-04,-0.004173559,0.028968135,0.0027732803,0.0010636654
2003-02-05,-0.005146796,0.028893832,0.002848857,0.0011772737
2003-02-06,-0.0060894825,0.028886458,0.0029801475,0.0012799986
2003-02-07,-0.006942938,0.028958838,0.0031938488,0.001368152
2003-02-10,-0.0077555655,0.029042698,0.0035091657,0.0014517698
2003-02-11,-0.008605333,0.029115582,0.0038123345,0.0015421566
2003-02-12,-0.009473527,0.029170666,0.0040370915,0.001639599
2003-02-13,-0.010258962,0.029219044,0.0041624447,0.0017305762
2003-02-14,-0.011010576,0.029134694,0.004363089,0.0018081609
2003-02-17,-0.011669396,0.028857045,0.0047843056,0.001860315
2003-02-18,-0.012167416,0.028556589,0.005323722,0.0018600952
2003-02-19,-0.012506024,0.02823494,0.006099104,0.00183242
