Date,Open,High,Low,Close,Volume
2008-11-10,1364.647,1375.043,1324.9041,1340.681,13737000
2008-11-11,1321.777,1346.129,1317.668,1336.557,15696800
2008-11-12,1328.406,1340.13,1315.946,1326.621,25057100
2008-11-13,1305.2111,1305.2111,1246.818,1259.713,33601000
2008-11-14,1262.791,1295.1021,1255.303,1264.377,25479600
2008-11-17,1261.3051,1270.804,1228.937,1236.933,12259900
2008-11-18,1231.983,1231.983,1167.848,1189.8621,11535500
2008-11-19,1185.509,1185.509,1159.962,1180.3571,12386500
2008-11-20,1144.811,1157.635,1134.926,1154.97,11949700
2008-11-21,1131.682,1157.67,1102.674,1146.276,21506800
2008-11-24,1147.208,1149.6639,1125.543,1141.401,21036900
2008-11-25,1169.734,1176.373,1148.757,1154.141,29838100
2008-11-26,1157.311,1193.151,1155.903,1193.151,25899400
2008-11-27,1211.446,1222.118,1185.144,1202.074,24562400
2008-11-28,1207.682,1241.541,1201.1689,1241.541,20031400
2008-12-01,1240.849,1261.0341,1216.837,1223.125,18066000
2008-12-02,1204.734,1204.734,1177.8571,1191.358,9425500
2008-12-03,1201.132,1205.168,1188.821,1192.526,14046100
2008-12-04,1205.444,1215.125,1197.722,1205.324,14241700
2008-12-05,1197.3051,1208.196,1191.775,1202.342,8459200
2008-12-09,1233.3311,1266.116,1229.979,1266.116,18017500
2008-12-10,1267.0229,1315.895,1267.0229,1315.895,27304100
2008-12-11,1314.78,1343.7111,1310.061,1316.694,45607900
2008-12-12,1307.562,1321.903,1255.908,1262.968,19847700
2008-12-15,1285.228,1359.278,1285.228,1359.278,20939700
2008-12-16,1352.667,1359.1639,1333.8979,1342.8361,17368700
2008-12-17,1371.582,1376.101,1348.818,1363.984,20396300
2008-12-18,1362.554,1362.554,1340.668,1351.764,13238300
2008-12-19,1339.236,1352.1379,1332.2209,1348.285,23604600
2008-12-22,1344.563,1348.394,1327.281,1345.308,15048000
2008-12-23,1341.447,1343.7159,1323.489,1343.7159,11629800
2008-12-24,1346.582,1356.7531,1333.9,1336.614,9931600
2008-12-30,1345.276,1361.856,1345.276,1355.408,7946800
2009-01-05,1377.45,1438.205,1377.45,1437.338,24464300
2009-01-06,1438.4189,1462.63,1430.098,1435.537,44791500
2009-01-07,1440.25,1472.46,1414.151,1421.47,39511600
2009-01-08,1401.092,1410.934,1388.095,1402.661,13090400
2009-01-09,1400.698,1416.67,1395.323,1416.67,14861200
2009-01-12,1406.783,1411.234,1392.217,1406.553,10547700
2009-01-13,1395.449,1412.681,1392.358,1399.733,12630500
2009-01-14,1406.5129,1416.059,1383.2629,1386.906,29913300
2009-01-15,1358.697,1358.697,1329.3,1343.494,8634100
2009-01-16,1349.8199,1363.876,1345.396,1363.876,19470600
2009-01-19,1370.895,1375.366,1342.084,1350.687,13838000
2009-01-20,1335.7209,1344.151,1320.692,1344.151,10729800
2009-01-21,1326.678,1334.911,1311.3879,1321.453,9516800
2009-01-22,1332.329,1336.782,1314.74,1327.323,6645700
2009-01-23,1321.428,1321.428,1307.528,1315.585,5448600
2009-01-27,1320.1429,1340.944,1320.1429,1336.631,5926500
2009-01-28,1339.939,1339.939,1320.791,1321.451,7767800
2009-01-29,1333.621,1336.6281,1319.663,1324.65,8697100
2009-01-30,1324.522,1332.667,1315.2419,1332.667,5567700
2009-02-02,1330.015,1330.015,1298.024,1310.6429,5409100
2009-02-03,1311.199,1313.489,1300.072,1304.3311,4763800
2009-02-04,1311.882,1320.363,1307.6429,1320.363,5817400
2009-02-05,1319.515,1331.506,1318.787,1328.075,13499100
2009-02-06,1337.579,1351.9139,1336.5179,1350.641,27617600
